store_id,channel_id,stat_month,exposure_count,click_count,arrival_count,avg_price
S001,C001,2024-01,10129,1038,33,389.72
S001,C001,2024-02,9827,1082,41,385.07
S001,C001,2024-03,10329,1074,41,455.15
S001,C001,2024-04,11697,1418,46,396.61
S001,C001,2024-05,10836,1499,49,404.11
S001,C001,2024-06,10482,1172,41,410.52
S001,C001,2024-07,8472,1017,38,402.62
S001,C001,2024-08,8110,837,29,449.34
S001,C001,2024-09,7497,839,32,440.59
S001,C001,2024-10,7574,873,28,438.12
S001,C001,2024-11,7758,977,31,421.02
S001,C001,2024-12,8951,1318,42,431.02
S001,C002,2024-01,17757,2566,53,415.36
S001,C002,2024-02,21042,2341,48,382.32
S001,C002,2024-03,19379,2126,38,402.46
S001,C002,2024-04,20283,2897,59,393.2
S001,C002,2024-05,19695,2419,47,359.91
S001,C002,2024-06,20551,2694,48,404.31
S001,C002,2024-07,16137,1939,39,342.58
S001,C002,2024-08,16248,2160,44,354.42
S001,C002,2024-09,13776,1547,33,347.13
S001,C002,2024-10,13814,1983,41,404.51
S001,C002,2024-11,15851,1892,36,344.33
S001,C002,2024-12,14662,1878,34,397.96
S001,C003,2024-01,6358,718,33,494.57
S001,C003,2024-02,8060,1207,57,503.55
S001,C003,2024-03,8879,910,42,470.43
S001,C003,2024-04,7861,1174,51,553.33
S001,C003,2024-05,8017,1138,55,513.3
S001,C003,2024-06,7799,1025,50,494.7
S001,C003,2024-07,7163,832,35,476.83
S001,C003,2024-08,6458,930,40,525.48
S001,C003,2024-09,5958,719,34,505.73
S001,C003,2024-10,5185,555,26,570.75
S001,C003,2024-11,5548,594,26,541.79
S001,C003,2024-12,6448,951,45,558.37
S001,C004,2024-01,588,68,17,671.71
S001,C004,2024-02,615,66,16,692.82
S001,C004,2024-03,694,73,18,634.9
S001,C004,2024-04,723,87,23,717.84
S001,C004,2024-05,715,96,24,620.31
S001,C004,2024-06,662,81,20,663.55
S001,C004,2024-07,634,71,17,742.97
S001,C004,2024-08,558,56,15,642.82
S001,C004,2024-09,502,64,16,709.64
S001,C004,2024-10,439,47,12,651.52
S001,C004,2024-11,528,64,14,705.27
S001,C004,2024-12,505,54,13,743.13
S001,C005,2024-01,4588,538,13,324.87
S001,C005,2024-02,4761,678,18,335.37
S001,C005,2024-03,5519,818,19,337.41
S001,C005,2024-04,6084,823,19,352.33
S001,C005,2024-05,4994,607,16,363.89
S001,C005,2024-06,5290,615,14,324.94
S001,C005,2024-07,4971,655,15,354.13
S001,C005,2024-08,4457,565,13,343.24
S001,C005,2024-09,3644,514,13,375.06
S001,C005,2024-10,4006,598,14,337.02
S001,C005,2024-11,3832,389,10,387.63
S001,C005,2024-12,4360,494,11,351.51
S001,C006,2024-01,6228,731,26,429.69
S001,C006,2024-02,7052,943,40,474.74
S001,C006,2024-03,6905,741,28,457.54
S001,C006,2024-04,7526,853,31,455.29
S001,C006,2024-05,6407,836,31,425.79
S001,C006,2024-06,6293,815,32,427.03
S001,C006,2024-07,6296,664,24,459.24
S001,C006,2024-08,4859,608,26,467.87
S001,C006,2024-09,4941,636,23,443.94
S001,C006,2024-10,4524,667,25,447.44
S001,C006,2024-11,5250,732,32,459.75
S001,C006,2024-12,5080,717,27,419.83
S002,C001,2024-01,8659,1246,47,450.0
S002,C001,2024-02,8452,1126,41,460.48
S002,C001,2024-03,9636,1045,39,404.67
S002,C001,2024-04,10308,1231,42,439.53
S002,C001,2024-05,9610,1294,40,405.27
S002,C001,2024-06,8932,1227,41,431.2
S002,C001,2024-07,8742,1161,41,412.74
S002,C001,2024-08,7390,947,30,451.57
S002,C001,2024-09,7419,870,30,456.31
S002,C001,2024-10,6432,881,28,421.96
S002,C001,2024-11,7500,956,34,454.24
S002,C001,2024-12,7909,1066,37,431.17
S002,C002,2024-01,16756,2496,52,395.77
S002,C002,2024-02,16110,2269,47,400.55
S002,C002,2024-03,17536,2545,46,361.27
S002,C002,2024-04,19574,2616,50,395.32
S002,C002,2024-05,18117,1811,33,409.08
S002,C002,2024-06,16413,1733,35,375.49
S002,C002,2024-07,16734,2394,51,365.79
S002,C002,2024-08,14233,1885,36,345.12
S002,C002,2024-09,13049,1313,28,402.55
S002,C002,2024-10,11859,1356,29,370.39
S002,C002,2024-11,13802,1688,36,395.49
S002,C002,2024-12,12860,1475,29,412.39
S002,C003,2024-01,5815,756,32,560.49
S002,C003,2024-02,7319,867,36,469.2
S002,C003,2024-03,7592,913,39,570.49
S002,C003,2024-04,7531,1035,43,469.4
S002,C003,2024-05,7291,971,43,560.61
S002,C003,2024-06,6858,792,38,510.31
S002,C003,2024-07,6027,632,30,553.81
S002,C003,2024-08,5156,608,28,566.42
S002,C003,2024-09,5096,731,32,486.67
S002,C003,2024-10,4553,530,23,566.29
S002,C003,2024-11,4917,585,23,547.41
S002,C003,2024-12,6159,689,30,480.7
S002,C004,2024-01,522,55,13,711.91
S002,C004,2024-02,585,65,15,698.85
S002,C004,2024-03,628,67,17,676.63
S002,C004,2024-04,589,62,16,650.29
S002,C004,2024-05,668,80,19,707.33
S002,C004,2024-06,522,61,14,730.06
S002,C004,2024-07,529,62,14,692.31
S002,C004,2024-08,440,49,11,694.68
S002,C004,2024-09,424,53,13,742.05
S002,C004,2024-10,443,53,13,741.16
S002,C004,2024-11,435,52,11,733.36
S002,C004,2024-12,449,46,11,727.04
S002,C005,2024-01,4133,575,15,356.72
S002,C005,2024-02,4718,597,16,376.24
S002,C005,2024-03,5362,595,14,329.11
S002,C005,2024-04,5055,726,17,333.24
S002,C005,2024-05,4515,552,12,348.92
S002,C005,2024-06,4930,587,14,360.16
S002,C005,2024-07,4396,473,12,370.34
S002,C005,2024-08,3617,383,8,380.35
S002,C005,2024-09,3544,421,10,385.61
S002,C005,2024-10,3622,467,11,382.78
S002,C005,2024-11,3656,438,10,379.33
S002,C005,2024-12,3540,356,9,365.63
S002,C006,2024-01,5678,705,30,436.86
S002,C006,2024-02,6052,696,25,439.18
S002,C006,2024-03,6471,695,27,424.11
S002,C006,2024-04,5781,756,32,432.96
S002,C006,2024-05,6277,926,38,465.58
S002,C006,2024-06,5420,675,26,447.39
S002,C006,2024-07,5582,686,25,486.5
S002,C006,2024-08,4781,699,28,411.27
S002,C006,2024-09,4399,566,21,447.39
S002,C006,2024-10,4178,547,20,457.36
S002,C006,2024-11,4128,504,18,408.36
S002,C006,2024-12,4569,519,20,491.58
S003,C001,2024-01,7770,1142,43,452.27
